,RunId,iteration,Step,pheromone_decay,food_decay,temperature,size,seed,AgentID,food_deposited
146,13,0,2000,0.75,0.8125,0.75,30,2,7,0
147,13,0,2000,0.75,0.8125,0.75,30,2,8,0
148,13,0,2000,0.75,0.8125,0.75,30,2,9,0
149,13,0,2000,0.75,0.8125,0.75,30,2,10,0
150,15,0,2000,0.75,0.8125,1.5,30,2,1,0
151,15,0,2000,0.75,0.8125,1.5,30,2,2,0
152,15,0,2000,0.75,0.8125,1.5,30,2,3,0
153,15,0,2000,0.75,0.8125,1.5,30,2,4,0
154,15,0,2000,0.75,0.8125,1.5,30,2,5,0
155,15,0,2000,0.75,0.8125,1.5,30,2,6,0
156,15,0,2000,0.75,0.8125,1.5,30,2,7,0
157,15,0,2000,0.75,0.8125,1.5,30,2,8,0
158,15,0,2000,0.75,0.8125,1.5,30,2,9,0
159,15,0,2000,0.75,0.8125,1.5,30,2,10,0
160,16,0,2000,0.75,0.8125,2.25,30,1,1,0
161,16,0,2000,0.75,0.8125,2.25,30,1,2,0
162,16,0,2000,0.75,0.8125,2.25,30,1,3,0
163,16,0,2000,0.75,0.8125,2.25,30,1,4,0
164,16,0,2000,0.75,0.8125,2.25,30,1,5,0
165,16,0,2000,0.75,0.8125,2.25,30,1,6,1
166,16,0,2000,0.75,0.8125,2.25,30,1,7,0
167,16,0,2000,0.75,0.8125,2.25,30,1,8,0
168,16,0,2000,0.75,0.8125,2.25,30,1,9,0
169,16,0,2000,0.75,0.8125,2.25,30,1,10,0
170,17,0,2000,0.75,0.8125,2.25,30,2,1,0
171,17,0,2000,0.75,0.8125,2.25,30,2,2,0
172,17,0,2000,0.75,0.8125,2.25,30,2,3,0
173,17,0,2000,0.75,0.8125,2.25,30,2,4,0
174,17,0,2000,0.75,0.8125,2.25,30,2,5,0
175,17,0,2000,0.75,0.8125,2.25,30,2,6,0
176,17,0,2000,0.75,0.8125,2.25,30,2,7,0
177,17,0,2000,0.75,0.8125,2.25,30,2,8,0
178,17,0,2000,0.75,0.8125,2.25,30,2,9,0
179,17,0,2000,0.75,0.8125,2.25,30,2,10,0
180,19,0,2000,0.75,0.8125,3.0,30,2,1,0
181,19,0,2000,0.75,0.8125,3.0,30,2,2,0
182,19,0,2000,0.75,0.8125,3.0,30,2,3,0
183,19,0,2000,0.75,0.8125,3.0,30,2,4,0
184,19,0,2000,0.75,0.8125,3.0,30,2,5,0
185,19,0,2000,0.75,0.8125,3.0,30,2,6,0
186,19,0,2000,0.75,0.8125,3.0,30,2,7,0
187,19,0,2000,0.75,0.8125,3.0,30,2,8,0
188,19,0,2000,0.75,0.8125,3.0,30,2,9,0
189,19,0,2000,0.75,0.8125,3.0,30,2,10,0
190,18,0,2000,0.75,0.8125,3.0,30,1,1,0
191,18,0,2000,0.75,0.8125,3.0,30,1,2,0
192,18,0,2000,0.75,0.8125,3.0,30,1,3,0
193,18,0,2000,0.75,0.8125,3.0,30,1,4,0
194,18,0,2000,0.75,0.8125,3.0,30,1,5,0
195,18,0,2000,0.75,0.8125,3.0,30,1,6,1
196,18,0,2000,0.75,0.8125,3.0,30,1,7,0
197,18,0,2000,0.75,0.8125,3.0,30,1,8,0
198,18,0,2000,0.75,0.8125,3.0,30,1,9,0
199,18,0,2000,0.75,0.8125,3.0,30,1,10,0
200,20,0,2000,0.75,0.875,0.0,30,1,1,0
201,20,0,2000,0.75,0.875,0.0,30,1,2,0
202,20,0,2000,0.75,0.875,0.0,30,1,3,0
203,20,0,2000,0.75,0.875,0.0,30,1,4,0
204,20,0,2000,0.75,0.875,0.0,30,1,5,0
205,20,0,2000,0.75,0.875,0.0,30,1,6,0
206,20,0,2000,0.75,0.875,0.0,30,1,7,0
207,20,0,2000,0.75,0.875,0.0,30,1,8,0
208,20,0,2000,0.75,0.875,0.0,30,1,9,0
209,20,0,2000,0.75,0.875,0.0,30,1,10,0
210,22,0,2000,0.75,0.875,0.75,30,1,1,0
211,22,0,2000,0.75,0.875,0.75,30,1,2,0
212,22,0,2000,0.75,0.875,0.75,30,1,3,0
213,22,0,2000,0.75,0.875,0.75,30,1,4,0
214,22,0,2000,0.75,0.875,0.75,30,1,5,113
215,22,0,2000,0.75,0.875,0.75,30,1,6,111
216,22,0,2000,0.75,0.875,0.75,30,1,7,0
217,22,0,2000,0.75,0.875,0.75,30,1,8,0
218,22,0,2000,0.75,0.875,0.75,30,1,9,0
219,22,0,2000,0.75,0.875,0.75,30,1,10,0
220,21,0,2000,0.75,0.875,0.0,30,2,1,0
221,21,0,2000,0.75,0.875,0.0,30,2,2,0
222,21,0,2000,0.75,0.875,0.0,30,2,3,0
223,21,0,2000,0.75,0.875,0.0,30,2,4,0
224,21,0,2000,0.75,0.875,0.0,30,2,5,0
225,21,0,2000,0.75,0.875,0.0,30,2,6,0
226,21,0,2000,0.75,0.875,0.0,30,2,7,0
227,21,0,2000,0.75,0.875,0.0,30,2,8,0
228,21,0,2000,0.75,0.875,0.0,30,2,9,0
229,21,0,2000,0.75,0.875,0.0,30,2,10,0
230,23,0,2000,0.75,0.875,0.75,30,2,1,0
231,23,0,2000,0.75,0.875,0.75,30,2,2,0
232,23,0,2000,0.75,0.875,0.75,30,2,3,0
233,23,0,2000,0.75,0.875,0.75,30,2,4,0
234,23,0,2000,0.75,0.875,0.75,30,2,5,0
235,23,0,2000,0.75,0.875,0.75,30,2,6,0
236,23,0,2000,0.75,0.875,0.75,30,2,7,0
237,23,0,2000,0.75,0.875,0.75,30,2,8,0
238,23,0,2000,0.75,0.875,0.75,30,2,9,0
239,23,0,2000,0.75,0.875,0.75,30,2,10,0
240,24,0,2000,0.75,0.875,1.5,30,1,1,0
241,24,0,2000,0.75,0.875,1.5,30,1,2,0
242,24,0,2000,0.75,0.875,1.5,30,1,3,0
